project_id,codigo_actividad,cod_aeri,codigo_campus,year,title,title_norm,status,project_type,knowledge_area,research_line,executing_unit,executing_section,coordinator_original,coordinator_norm,management_unit,funding_type,funder
1,NO APLICA,-,2010-0002,2010,ZONIFICACIÓN DE LOS TEJIDOS URBANOS EN LA PERIFERIA LIMA-CALLAO,ZONIFICACION DE LOS TEJIDOS URBANOS EN LA PERIFERIA LIMA CALLAO,5. Cerrado,básica y aplicada,,,Departamento de Arquitectura,Arquitectura,"MANTOVANI BUSATO, ALDO MARIA ANTONIO",MANTOVANI BUSATO ALDO MARIA ANTONIO,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
2,NO APLICA,-,70244.0006,2010,VULNERABILIDAD DE LA PRODUCCIÓN DE CULTIVOS Y DE LA AGROBIODIVERSIDAD FRENTE AL CAMBIO CLIMÁTICO EN LA REGIÓN COSTERA DEL DEPARTAMENTO DE PIURA,VULNERABILIDAD DE LA PRODUCCION DE CULTIVOS Y DE LA AGROBIODIVERSIDAD FRENTE AL CAMBIO CLIMATICO EN LA REGION COSTERA DEL DEPARTAMENTO DE PIURA,5. Cerrado,aplicada,,,CIGA - Centro de Investigación en Geografía Aplicada,,"TAVARES CORREA, CARLOS HENRIQUE",TAVARES CORREA CARLOS HENRIQUE,OAP-DGI (Oficina de Administración de Proyectos,EXTERNO,DEUTSCHE GESELLSCHAFT FÜR TECHNISCHE ZUSAMMENARBEIT (GTZ)
3,NO APLICA,-,70243.0005,2010,VALIDACIÓN ESPAÑOLA E HISPANOAMERICANA DE UNA PRUEBA DE PENSAMIENTO CRÍTICO. PROYECTO AUSPICIADO POR AECID,VALIDACION ESPANOLA E HISPANOAMERICANA DE UNA PRUEBA DE PENSAMIENTO CRITICO PROYECTO AUSPICIADO POR AECID,5. Cerrado,aplicada,,,Departamento de Ciencias,Química,"MORALES BUENO, EMMA PATRICIA",MORALES BUENO EMMA PATRICIA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
4,NO APLICA,-,2010-0001,2010,VALIDACIÓN DE UNA PRUEBA DE PENSAMIENTO CRÍTICO CON ESTUDIANTES DE LA FACULTAD DE CIENCIAS E INGENIERÍA DE LA PUCP,VALIDACION DE UNA PRUEBA DE PENSAMIENTO CRITICO CON ESTUDIANTES DE LA FACULTAD DE CIENCIAS E INGENIERIA DE LA PUCP,5. Cerrado,básica y aplicada,,,Departamento de Ciencias,Química,"MORALES BUENO, EMMA PATRICIA",MORALES BUENO EMMA PATRICIA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
5,NO APLICA,-,70243.0012,2010,TURISMO RURAL EN ANTIOQUIA,TURISMO RURAL EN ANTIOQUIA,5. Cerrado,aplicada,,,Departamento de Ciencias Sociales,Antropología,"FULLER OSORES, NORMA JOSEFINA",FULLER OSORES NORMA JOSEFINA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
6,NO APLICA,-,,2010,TEORÍA GENERAL DEL DELITO EN UN ESTADO CONSTITUCIONAL DE DERECHO,TEORIA GENERAL DEL DELITO EN UN ESTADO CONSTITUCIONAL DE DERECHO,5. Cerrado,básica y aplicada,,,Departamento de Derecho,Derecho,"MEINI MENDEZ, IVAN FABIO",MEINI MENDEZ IVAN FABIO,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
7,PI0064,-,70244.0007,2010,"TALLER INDIGENOUS GOVERNANCE, EQUITY AND RIGHTS IN PLURALISTIC SETTINGS",TALLER INDIGENOUS GOVERNANCE EQUITY AND RIGHTS IN PLURALISTIC SETTINGS,5. Cerrado,Soporte a la investigación,,,Departamento de Ciencias Sociales,Sociología,"PORTOCARRERO MAISCH, GONZALO",PORTOCARRERO MAISCH GONZALO,OAP-DGI (Oficina de Administración de Proyectos,EXTERNO,LIASION GROUP
8,NO APLICA,-,70243.0017,2010,TALLER DE METODOLOGÍA DE INVESTIGACIÓN INTERDISCIPLINARIA PARA DOCENTES,TALLER DE METODOLOGIA DE INVESTIGACION INTERDISCIPLINARIA PARA DOCENTES,5. Cerrado,Soporte a la investigación,,,DGI - Dirección de Gestión de la Investigación,,"REISZ, SUSANA",REISZ SUSANA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
9,NO APLICA,-,2010-0090,2010,SOLUCIÓN DE ECUACIONES ALGEBRAICAS Y DIFERENCIALES: NUEVOS MÉTODOS DE RESOLUCIÓN,SOLUCION DE ECUACIONES ALGEBRAICAS Y DIFERENCIALES NUEVOS METODOS DE RESOLUCION,5. Cerrado,básica y aplicada,,,Departamento de Ciencias,Matemáticas,"UGARTE GUERRA, FRANCISCO JAVIER",UGARTE GUERRA FRANCISCO JAVIER,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
10,NO APLICA,-,2010-0005,2010,SISTEMA ÓPTICO DE MEDICIÓN Y REGISTRO AUTOMÁTICO DE DESPLAZAMIENTOS EN ENSAYOS DE SIMULACIÓN SÍSMICA,SISTEMA OPTICO DE MEDICION Y REGISTRO AUTOMATICO DE DESPLAZAMIENTOS EN ENSAYOS DE SIMULACION SISMICA,5. Cerrado,básica y aplicada,,,Departamento de Ingeniería,Electricidad y Electrónica,"RODRIGUEZ VALDERRAMA, PAUL ANTONIO",RODRIGUEZ VALDERRAMA PAUL ANTONIO,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
